Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2017-08-01,0.072459,0.08526,0.07237,0.083568,13623.227,2017-08-01 23:59:59.999000064,1070.58897241,12474.0,6716.24300000,527.65028424,0
2017-08-02,0.083568,0.084967,0.07963,0.08016,13678.63,2017-08-02 23:59:59.999000064,1115.12601961,13297.0,6878.69000000,560.98509007,0
2017-08-03,0.080168,0.083795,0.078277,0.078965,11389.116,2017-08-03 23:59:59.999000064,919.3144725,12318.0,5792.35800000,467.60784097,0
2017-08-04,0.078965,0.08071,0.076332,0.076475,12523.985,2017-08-04 23:59:59.999000064,981.51828688,13124.0,6230.74300000,488.40851988,0
2017-08-05,0.076563,0.079322,0.071325,0.07916,12348.255,2017-08-05 23:59:59.999000064,944.28885525,12351.0,6213.19400000,474.98887142,0
2017-08-06,0.07916,0.083151,0.07851,0.081029,13069.284,2017-08-06 23:59:59.999000064,1052.56125721,13121.0,6764.02500000,544.75007561,0
2017-08-07,0.081029,0.082475,0.079547,0.081171,13667.775,2017-08-07 23:59:59.999000064,1107.69611104,13657.0,6659.37200000,539.81376919,0
2017-08-08,0.081171,0.087444,0.078,0.085296,14885.592,2017-08-08 23:59:59.999000064,1225.48669378,12549.0,7767.23100000,638.81585555,0
2017-08-09,0.085331,0.093578,0.080372,0.083159,15503.613,2017-08-09 23:59:59.999000064,1367.06462099,13223.0,7853.82700000,692.24501656,0
2017-08-10,0.083303,0.09092,0.082489,0.084466,16483.655,2017-08-10 23:59:59.999000064,1447.36742932,14600.0,7863.00400000,690.44771889,0
2017-08-11,0.084613,0.087178,0.083167,0.084941,18017.655,2017-08-11 23:59:59.999000064,1536.48833639,19466.0,8574.35000000,731.14751485,0
2017-08-12,0.08495,0.087601,0.08001,0.080163,15210.946,2017-08-12 23:59:59.999000064,1274.94670235,15661.0,7546.02500000,632.38789867,0
2017-08-13,0.080182,0.080459,0.068007,0.073824,20955.915,2017-08-13 23:59:59.999000064,1533.75840576,20875.0,10336.51000000,755.85995852,0
2017-08-14,0.07385,0.079911,0.068535,0.070899,28508.69,2017-08-14 23:59:59.999000064,2068.81079592,29214.0,12371.91300000,895.36873599,0
2017-08-15,0.070899,0.0752,0.066161,0.069395,28889.165,2017-08-15 23:59:59.999000064,2022.91292395,22507.0,12518.13100000,876.20248789,0
