jour,cours
2022-03-24,4350
2022-03-25,4365
2022-03-28,4365
2022-03-29,4365
2022-03-30,4360
2022-03-31,4360
2022-04-01,4360
2022-04-04,4340
2022-04-05,4255
2022-04-06,4260
2022-04-07,4300
2022-04-08,4360
2022-04-11,4300
2022-04-12,4300
2022-04-13,4340
2022-04-14,4350
2022-04-15,4400
2022-04-18,4400
2022-04-19,4420
2022-04-20,4425
2022-04-21,4450
2022-04-22,4445
2022-04-25,4450
2022-04-26,4450
2022-04-27,4405
2022-04-28,4405
2022-04-29,4400
2022-05-02,4400
2022-05-03,4420
2022-05-04,4440
2022-05-05,4415
2022-05-06,4420
2022-05-09,4420
2022-05-10,4445
2022-05-11,4415
2022-05-12,4420
2022-05-13,4450
2022-05-16,4475
2022-05-17,4495
2022-05-18,4500
2022-05-19,4505
2022-05-20,4650
2022-05-23,4600
2022-05-24,4600
2022-05-25,4610
2022-05-26,4610
2022-05-27,4600
2022-05-30,4610
2022-05-31,4620
2022-06-01,4620
2022-06-02,4610
2022-06-03,4600
2022-06-06,4600
2022-06-07,4620
2022-06-08,4620
2022-06-09,4620
2022-06-10,4610
2022-06-13,4670
2022-06-14,4660
2022-06-15,4660
2022-06-16,4660
2022-06-17,4650
2022-06-20,4650
2022-06-21,4640
2022-06-22,4660
2022-06-23,4725
2022-06-24,4680
2022-06-27,4725
2022-06-28,4300
2022-06-29,4215
2022-06-30,4200
2022-07-01,4200
2022-07-04,4310
2022-07-05,4300
2022-07-06,4295
2022-07-07,4300
2022-07-08,4255
2022-07-11,4250
2022-07-12,4250
2022-07-13,4300
2022-07-14,4300
2022-07-15,4300
2022-07-18,4300
2022-07-19,4300
2022-07-20,4470
2022-07-21,4445
2022-07-22,4435
2022-07-25,4400
2022-07-26,4270
2022-07-27,4400
2022-07-28,4400
2022-07-29,4730
2022-08-01,4595
2022-08-02,4500
2022-08-03,4500
2022-08-04,4350
2022-08-05,4600
2022-08-08,4600
2022-08-09,4450
2022-08-10,4555
2022-08-11,4550
2022-08-12,4590
2022-08-15,4590
2022-08-16,4550
2022-08-17,4500
2022-08-18,4400
2022-08-19,4305
2022-08-22,4400
2022-08-23,4400
2022-08-24,4490
2022-08-25,4495
2022-08-26,4495
